chrom,start,end,Nanog_binding_status,replication_timing_pre_MBT
chr11,26500000,26600000,non binding,1.09012
chr11,26600000,26700000,dome new,1.34123
chr11,26700000,26800000,dome new,0.925701
chr11,26800000,26900000,dome new,0.08941619999999999
chr11,26900000,27000000,non binding,-0.4847
chr11,27000000,27100000,non binding,-0.44975299999999996
chr11,27100000,27200000,dome new,-0.0168208
chr11,27200000,27300000,1k-cell new,0.453579
chr11,27300000,27400000,non binding,0.546639
chr11,27400000,27500000,non binding,0.277067
chr11,27500000,27600000,dome new,0.374867
chr11,27600000,27700000,256-cell,0.8583799999999999
chr11,27700000,27800000,1k-cell new,1.0853
chr11,27800000,27900000,dome new,1.02437
chr11,27900000,28000000,256-cell,0.6537689999999999
chr11,28000000,28100000,non binding,0.031319599999999996
chr11,28100000,28200000,non binding,-0.46743900000000005
chr11,28200000,28300000,non binding,-0.799737
chr11,28300000,28400000,non binding,-0.9523370000000001
chr11,28400000,28500000,dome new,-0.5609
chr11,28500000,28600000,dome new,-0.398493
chr11,28600000,28700000,dome new,-0.48043900000000006
chr11,28700000,28800000,non binding,-0.327498
chr11,28800000,28900000,256-cell,0.05929980000000001
chr11,28900000,29000000,1k-cell new,0.593791
chr11,29000000,29100000,non binding,0.877769
chr11,29100000,29200000,dome new,0.763936
chr11,29200000,29300000,1k-cell new,0.43671000000000004
chr11,29300000,29400000,dome new,-0.138217
chr11,29400000,29500000,1k-cell new,-0.532997
chr11,29500000,29600000,dome new,-0.631135
chr11,29600000,29700000,non binding,-0.25117
chr11,29700000,29800000,dome new,0.526953
chr11,29800000,29900000,1k-cell new,1.34871
chr11,29900000,30000000,dome new,1.74155
chr11,30000000,30100000,1k-cell new,1.50086
chr11,30100000,30200000,dome new,1.23629
chr11,30200000,30300000,non binding,1.15479
chr11,30300000,30400000,256-cell,0.908697
chr11,30400000,30500000,256-cell,0.42103500000000005
chr11,30500000,30600000,256-cell,0.294204
chr11,30600000,30700000,1k-cell new,0.516372
chr11,30700000,30800000,dome new,0.26566
chr11,30800000,30900000,dome new,-0.162051
chr11,30900000,31000000,dome new,0.395027
chr11,31000000,31100000,256-cell,1.8286799999999999
chr11,31100000,31200000,dome new,2.4184400000000004
chr11,31200000,31300000,non binding,1.5277399999999999
chr11,31300000,31400000,256-cell,0.209729
chr11,31400000,31500000,dome new,-0.299865
chr11,31500000,31600000,non binding,-0.169426
chr11,31600000,31700000,256-cell,-0.142226
chr11,31700000,31800000,non binding,-0.0184962
chr11,31800000,31900000,1k-cell new,0.315469
chr11,31900000,32000000,dome new,0.25450700000000004
chr11,32000000,32100000,dome new,-0.134804
chr11,32100000,32200000,dome new,-0.362467
chr11,32200000,32300000,1k-cell new,-0.40888800000000003
chr11,32300000,32400000,1k-cell new,-0.387318
chr11,32400000,32500000,dome new,-0.346458
chr11,32500000,32600000,non binding,-0.335434
chr11,32600000,32700000,non binding,-0.23163899999999998
chr11,32700000,32800000,1k-cell new,-0.170397
chr11,32800000,32900000,dome new,-0.36509400000000003
chr11,32900000,33000000,non binding,-0.738483
chr11,33000000,33100000,non binding,-0.8069649999999999
chr11,33100000,33200000,256-cell,-0.384805
chr11,33200000,33300000,non binding,0.18049300000000001
chr11,33300000,33400000,1k-cell new,0.519098
chr11,33400000,33500000,non binding,0.531606
chr11,33500000,33600000,1k-cell new,0.281814
chr11,33600000,33700000,non binding,-0.189697
chr11,33700000,33800000,non binding,-0.600057
chr11,33800000,33900000,non binding,-0.536989
chr11,33900000,34000000,non binding,0.010737299999999998
chr11,34000000,34100000,non binding,0.5836140000000001
chr11,34100000,34200000,non binding,0.6943159999999999
chr11,34200000,34300000,non binding,0.157833
chr11,34300000,34400000,1k-cell new,-0.43425
chr11,34400000,34500000,non binding,-0.425509
chr11,34500000,34600000,non binding,0.0250646
chr11,34600000,34700000,non binding,0.363821
chr11,34700000,34800000,dome new,0.498542
chr11,34800000,34900000,1k-cell new,0.917407
chr11,34900000,35000000,1k-cell new,1.6490799999999999
chr11,35000000,35100000,256-cell,1.88978
chr11,35100000,35200000,256-cell,1.32876
chr11,35200000,35300000,1k-cell new,0.5118010000000001
chr11,35300000,35400000,non binding,-0.05204930000000001
chr11,35400000,35500000,non binding,-0.47452
chr11,35500000,35600000,dome new,-0.846836
chr11,35600000,35700000,256-cell,-0.8764280000000001
chr11,35700000,35800000,1k-cell new,-0.399079
chr11,35800000,35900000,non binding,0.27147
chr11,35900000,36000000,non binding,1.1598899999999999
chr11,36000000,36100000,non binding,1.64303
chr11,36100000,36200000,256-cell,1.52532
chr11,36200000,36300000,256-cell,1.0253299999999999
chr11,36300000,36400000,1k-cell new,0.772854
chr11,36400000,36500000,1k-cell new,0.783428
chr11,36500000,36600000,256-cell,0.785312
chr11,36600000,36700000,dome new,0.566179
chr11,36700000,36800000,256-cell,0.276335
chr11,36800000,36900000,non binding,0.0836316
chr11,36900000,37000000,dome new,0.308084
chr11,37000000,37100000,non binding,0.5081
chr11,37100000,37200000,dome new,0.140995
chr11,37200000,37300000,dome new,-0.44139399999999995
chr11,37300000,37400000,non binding,-0.821608
chr11,37400000,37500000,non binding,-0.554659
chr11,37500000,37600000,dome new,0.110427
chr11,37600000,37700000,dome new,0.644047
chr11,37700000,37800000,dome new,0.549553
chr11,37800000,37900000,1k-cell new,0.287862
chr11,37900000,38000000,256-cell,0.16580699999999998
chr11,38000000,38100000,non binding,-0.187352
chr11,38100000,38200000,256-cell,-0.624955
chr11,38200000,38300000,non binding,-0.614155
chr11,38300000,38400000,non binding,-0.45768500000000006
chr11,38400000,38500000,non binding,-0.33334899999999995
chr11,38500000,38600000,1k-cell new,-0.270198
chr11,38600000,38700000,non binding,-0.655903
chr11,38700000,38800000,dome new,-0.8267260000000001
chr11,38800000,38900000,non binding,-0.55875
chr11,38900000,39000000,non binding,-0.260446
chr11,39000000,39100000,non binding,-0.24476799999999999
chr11,39100000,39200000,non binding,-0.625149
chr11,39200000,39300000,dome new,-1.24481
chr11,39300000,39400000,non binding,-1.42677
chr11,39400000,39500000,non binding,-1.2092
chr11,39500000,39600000,1k-cell new,-1.0057399999999999
chr11,39600000,39700000,non binding,-1.06395
chr11,39700000,39800000,non binding,-1.06246
chr11,39800000,39900000,256-cell,-0.879287
chr11,39900000,40000000,1k-cell new,-0.47702
chr11,40000000,40100000,1k-cell new,-0.0421353
chr11,40100000,40200000,non binding,-0.00969921
chr11,40200000,40300000,non binding,-0.406017
chr11,40300000,40400000,non binding,-0.849583
chr11,40400000,40500000,dome new,-0.83778
chr11,40500000,40600000,non binding,-0.647399
chr11,40600000,40700000,1k-cell new,-0.65859
chr11,40700000,40800000,256-cell,-0.576943
chr11,40800000,40900000,non binding,-0.174798
chr11,40900000,41000000,non binding,0.0
chr11,41000000,41100000,non binding,0.0
chr11,41100000,41200000,non binding,0.0726387
chr11,41200000,41300000,1k-cell new,0.136198
chr11,41300000,41400000,non binding,-0.364539
chr11,41400000,41500000,1k-cell new,-1.01142
chr11,41500000,41600000,non binding,-1.3875
chr11,41600000,41700000,non binding,-1.5701399999999999
chr11,41700000,41800000,non binding,-1.4039
chr11,41800000,41900000,1k-cell new,-0.836432
chr11,41900000,42000000,dome new,-0.429465
chr11,42000000,42100000,dome new,-0.386023
chr11,42100000,42200000,non binding,-0.6438050000000001
chr11,42200000,42300000,256-cell,-0.650714
chr11,42300000,42400000,non binding,-0.34435
chr11,42400000,42500000,dome new,0.10350699999999999
chr11,42500000,42600000,non binding,0.23860399999999998
chr11,42600000,42700000,256-cell,-0.0549481
chr11,42700000,42800000,non binding,-0.616955
chr11,42800000,42900000,non binding,-0.964432
chr11,42900000,43000000,1k-cell new,-0.9553959999999999
chr11,43000000,43100000,1k-cell new,-0.7182270000000001
chr11,43100000,43200000,dome new,-0.917175
chr11,43200000,43300000,256-cell,-1.34886
chr11,43300000,43400000,1k-cell new,-1.47884
chr11,43400000,43500000,non binding,-1.43238
chr11,43500000,43600000,dome new,-1.35364
chr11,43600000,43700000,1k-cell new,-1.35889
chr11,43700000,43800000,1k-cell new,-1.32849
chr11,43800000,43900000,non binding,-1.36776
chr11,43900000,44000000,non binding,-1.43234
chr11,44000000,44100000,dome new,-1.4626
chr11,44100000,44200000,non binding,-1.4880200000000001
chr11,44200000,44300000,256-cell,-2.22052
chr11,44300000,44400000,non binding,-2.34619
chr11,44400000,44500000,dome new,-2.18191
chr11,44500000,44600000,256-cell,-1.09596
chr11,44600000,44700000,non binding,-0.582666
chr11,44700000,44800000,non binding,-0.9027350000000001
chr11,44800000,44900000,non binding,-0.759517
chr11,44900000,45000000,dome new,-1.47485
chr11,45000000,45100000,non binding,-0.738323
chr11,45100000,45200000,dome new,-0.357986
chr11,45200000,45300000,1k-cell new,-0.841276
chr11,45300000,45400000,1k-cell new,-1.95576
chr11,45400000,45484837,non binding,-3.9616800000000003
chr12,0,100000,256-cell,-3.00021
chr12,100000,200000,non binding,-2.8431900000000003
chr12,200000,300000,256-cell,-3.0141
chr12,300000,400000,non binding,-1.8810799999999999
chr12,400000,500000,dome new,-1.3471899999999999
chr12,500000,600000,non binding,-1.13906
chr12,600000,700000,dome new,-0.913959
chr12,700000,800000,non binding,-0.7783979999999999
chr12,800000,900000,1k-cell new,-0.794925
chr12,900000,1000000,dome new,-0.904005
chr12,1000000,1100000,1k-cell new,-0.589863
chr12,1100000,1200000,1k-cell new,-0.32172199999999995
chr12,1200000,1300000,1k-cell new,-0.289875
chr12,1300000,1400000,non binding,-0.2601
chr12,1400000,1500000,1k-cell new,-0.26155300000000004
chr12,1500000,1600000,non binding,-0.634625
chr12,1600000,1700000,non binding,-1.30778
chr12,1700000,1800000,non binding,-1.5296
chr12,1800000,1900000,dome new,-1.25335
chr12,1900000,2000000,dome new,-1.04275
chr12,2000000,2100000,non binding,-1.1167200000000002
chr12,2100000,2200000,1k-cell new,-1.19502
chr12,2200000,2300000,non binding,-1.3394700000000002
chr12,2300000,2400000,non binding,-1.35833
chr12,2400000,2500000,non binding,-1.20138
chr12,2500000,2600000,non binding,-0.804369
chr12,2600000,2700000,non binding,-0.302132
chr12,2700000,2800000,non binding,-0.0334406
chr12,2800000,2900000,dome new,0.174713
chr12,2900000,3000000,non binding,0.196436
chr12,3000000,3100000,dome new,0.00893783
chr12,3100000,3200000,256-cell,-0.412392
chr12,3200000,3300000,256-cell,-0.717385
chr12,3300000,3400000,non binding,-0.907382
chr12,3400000,3500000,non binding,-0.873258
chr12,3500000,3600000,non binding,-0.406596
chr12,3600000,3700000,1k-cell new,-0.112221
chr12,3700000,3800000,dome new,0.39960999999999997
chr12,3800000,3900000,256-cell,0.390842
chr12,3900000,4000000,1k-cell new,0.183606
chr12,4000000,4100000,dome new,0.0156697
chr12,4100000,4200000,non binding,0.0690395
chr12,4200000,4300000,1k-cell new,0.23680700000000002
chr12,4300000,4400000,non binding,0.501132
chr12,4400000,4500000,dome new,0.701588
chr12,4500000,4600000,1k-cell new,0.446578
chr12,4600000,4700000,1k-cell new,0.370422
chr12,4700000,4800000,non binding,0.503458
chr12,4800000,4900000,non binding,0.49628
chr12,4900000,5000000,dome new,0.162418
chr12,5000000,5100000,dome new,-0.0138425
chr12,5100000,5200000,non binding,0.274991
chr12,5200000,5300000,non binding,0.43997600000000003
chr12,5300000,5400000,non binding,0.178674
chr12,5400000,5500000,non binding,0.0987324
chr12,5500000,5600000,1k-cell new,0.206414
chr12,5600000,5700000,non binding,0.365173
chr12,5700000,5800000,256-cell,0.637041
chr12,5800000,5900000,non binding,1.03641
chr12,5900000,6000000,dome new,1.1758
chr12,6000000,6100000,non binding,0.967765
chr12,6100000,6200000,1k-cell new,0.791277
chr12,6200000,6300000,non binding,0.923579
chr12,6300000,6400000,1k-cell new,1.00066
chr12,6400000,6500000,1k-cell new,0.667679
chr12,6500000,6600000,1k-cell new,-0.12465899999999999
chr12,6600000,6700000,non binding,-0.751916
chr12,6700000,6800000,256-cell,-0.8554780000000001
chr12,6800000,6900000,256-cell,-0.7457729999999999
chr12,6900000,7000000,dome new,-0.390006
chr12,7000000,7100000,1k-cell new,0.220358
chr12,7100000,7200000,non binding,0.788089
chr12,7200000,7300000,dome new,1.1317700000000002
chr12,7300000,7400000,non binding,0.988663
chr12,7400000,7500000,non binding,0.586134
chr12,7500000,7600000,non binding,0.28525300000000003
chr12,7600000,7700000,non binding,0.15526800000000002
chr12,7700000,7800000,non binding,0.0997827
chr12,7800000,7900000,dome new,0.162613
chr12,7900000,8000000,1k-cell new,0.31211700000000003
chr12,8000000,8100000,non binding,0.758977
chr12,8100000,8200000,256-cell,1.02156
chr12,8200000,8300000,non binding,0.801387
chr12,8300000,8400000,non binding,0.28318899999999997
chr12,8400000,8500000,dome new,0.11312799999999999
chr12,8500000,8600000,dome new,-0.183647
chr12,8600000,8700000,non binding,-0.665604
chr12,8700000,8800000,non binding,-0.511718
chr12,8800000,8900000,256-cell,0.278061
chr12,8900000,9000000,256-cell,1.0337399999999999
chr12,9000000,9100000,256-cell,1.14488
chr12,9100000,9200000,non binding,0.8278139999999999
chr12,9200000,9300000,dome new,0.443533
chr12,9300000,9400000,non binding,0.216336
chr12,9400000,9500000,256-cell,0.342334
chr12,9500000,9600000,dome new,0.254247
chr12,9600000,9700000,non binding,0.00296909
chr12,9700000,9800000,dome new,0.0321776
chr12,9800000,9900000,non binding,0.316537
chr12,9900000,10000000,non binding,0.602224
chr12,10000000,10100000,256-cell,0.8476440000000001
chr12,10100000,10200000,dome new,0.825641
chr12,10200000,10300000,dome new,0.7817270000000001
chr12,10300000,10400000,1k-cell new,1.2137799999999999
chr12,10400000,10500000,1k-cell new,1.56921
chr12,10500000,10600000,dome new,1.47185
chr12,10600000,10700000,1k-cell new,1.0885200000000002
chr12,10700000,10800000,1k-cell new,0.509089
chr12,10800000,10900000,dome new,0.2346
chr12,10900000,11000000,non binding,0.386585
chr12,11000000,11100000,256-cell,0.6049869999999999
chr12,11100000,11200000,dome new,0.626631
chr12,11200000,11300000,non binding,0.443617
chr12,11300000,11400000,1k-cell new,0.21664699999999998
chr12,11400000,11500000,1k-cell new,0.12895399999999999
chr12,11500000,11600000,non binding,-0.0157922
chr12,11600000,11700000,dome new,-0.152789
chr12,11700000,11800000,dome new,0.043863599999999996
chr12,11800000,11900000,non binding,0.238904
chr12,11900000,12000000,1k-cell new,0.32742899999999997
chr12,12000000,12100000,256-cell,0.487425
chr12,12100000,12200000,non binding,0.648405
chr12,12200000,12300000,256-cell,0.396934
chr12,12300000,12400000,256-cell,0.0335904
chr12,12400000,12500000,dome new,-0.48613999999999996
chr12,12500000,12600000,non binding,-1.23535
chr12,12600000,12700000,non binding,-1.4552200000000002
chr12,12700000,12800000,non binding,-1.0824799999999999
chr12,12800000,12900000,non binding,-0.582503
chr12,12900000,13000000,1k-cell new,-0.0505472
chr12,13000000,13100000,non binding,0.518388
chr12,13100000,13200000,256-cell,1.0103600000000001
chr12,13200000,13300000,dome new,1.03859
chr12,13300000,13400000,dome new,0.488359
chr12,13400000,13500000,non binding,-0.458012
chr12,13500000,13600000,non binding,-0.6955060000000001
chr12,13600000,13700000,non binding,-0.18849000000000002
chr12,13700000,13800000,256-cell,0.13204000000000002
chr12,13800000,13900000,non binding,0.00679764
chr12,13900000,14000000,non binding,0.04359880000000001
chr12,14000000,14100000,non binding,0.331638
chr12,14100000,14200000,non binding,0.6805359999999999
chr12,14200000,14300000,256-cell,0.8393579999999999
chr12,14300000,14400000,256-cell,0.925859
chr12,14400000,14500000,non binding,0.539542
chr12,14500000,14600000,non binding,-0.05113259999999999
chr12,14600000,14700000,1k-cell new,-0.507252
chr12,14700000,14800000,non binding,-0.9840469999999999
chr12,14800000,14900000,non binding,-1.17947
chr12,14900000,15000000,non binding,-0.9050879999999999
chr12,15000000,15100000,non binding,-0.588032
chr12,15100000,15200000,1k-cell new,-0.433842
chr12,15200000,15300000,256-cell,-0.36241999999999996
chr12,15300000,15400000,dome new,-0.455103
chr12,15400000,15500000,non binding,-0.168956
chr12,15500000,15600000,dome new,0.70987
chr12,15600000,15700000,non binding,0.9101549999999999
chr12,15700000,15800000,1k-cell new,0.5730729999999999
chr12,15800000,15900000,non binding,0.6978850000000001
chr12,15900000,16000000,non binding,1.14039
chr12,16000000,16100000,1k-cell new,1.06325
chr12,16100000,16200000,non binding,0.541416
chr12,16200000,16300000,256-cell,0.28286
chr12,16300000,16400000,non binding,0.189497
chr12,16400000,16500000,256-cell,-0.10657799999999999
chr12,16500000,16600000,non binding,-0.5357609999999999
chr12,16600000,16700000,non binding,-0.878743
chr12,16700000,16800000,non binding,-1.01814
chr12,16800000,16900000,non binding,-0.563933
chr12,16900000,17000000,dome new,0.1453
chr12,17000000,17100000,256-cell,0.752599
chr12,17100000,17200000,dome new,0.970059
chr12,17200000,17300000,non binding,0.78318
chr12,17300000,17400000,non binding,0.658752
chr12,17400000,17500000,non binding,0.888677
chr12,17500000,17600000,dome new,0.926941
chr12,17600000,17700000,dome new,1.03372
chr12,17700000,17800000,256-cell,1.23108
chr12,17800000,17900000,non binding,1.15299
chr12,17900000,18000000,dome new,0.551721
chr12,18000000,18100000,1k-cell new,-0.0977855
chr12,18100000,18200000,non binding,-0.30206700000000003
chr12,18200000,18300000,non binding,-0.03623869999999999
chr12,18300000,18400000,1k-cell new,0.5521689999999999
chr12,18400000,18500000,1k-cell new,0.9171040000000001
chr12,18500000,18600000,dome new,0.73226
chr12,18600000,18700000,dome new,0.212404
chr12,18700000,18800000,dome new,-0.06639110000000001
chr12,18800000,18900000,256-cell,0.26232
chr12,18900000,19000000,1k-cell new,0.994186
chr12,19000000,19100000,dome new,1.55192
chr12,19100000,19200000,1k-cell new,1.9496
chr12,19200000,19300000,non binding,1.9313599999999997
chr12,19300000,19400000,dome new,1.48333
chr12,19400000,19500000,non binding,0.781292
chr12,19500000,19600000,non binding,0.125802
chr12,19600000,19700000,dome new,-0.405572
chr12,19700000,19800000,non binding,-0.657764
chr12,19800000,19900000,1k-cell new,-0.123801
chr12,19900000,20000000,non binding,0.5358510000000001
chr12,20000000,20100000,1k-cell new,0.850424
chr12,20100000,20200000,dome new,1.08964
chr12,20200000,20300000,1k-cell new,1.5588899999999999
chr12,20300000,20400000,256-cell,2.1754
chr12,20400000,20500000,1k-cell new,2.3369400000000002
chr12,20500000,20600000,dome new,2.35747
chr12,20600000,20700000,dome new,2.1023099999999997
chr12,20700000,20800000,256-cell,1.43149
chr12,20800000,20900000,non binding,0.70816
chr12,20900000,21000000,256-cell,0.271024
chr12,21000000,21100000,dome new,0.266499
chr12,21100000,21200000,non binding,0.397177
chr12,21200000,21300000,256-cell,0.457025
chr12,21300000,21400000,dome new,0.43916499999999997
chr12,21400000,21500000,dome new,0.6042890000000001
chr12,21500000,21600000,non binding,0.676517
chr12,21600000,21700000,1k-cell new,0.258231
chr12,21700000,21800000,non binding,-0.217259
chr12,21800000,21900000,non binding,-0.182899
chr12,21900000,22000000,dome new,0.131787
chr12,22000000,22100000,1k-cell new,0.263434
chr12,22100000,22200000,non binding,0.17011700000000002
chr12,22200000,22300000,1k-cell new,0.277506
chr12,22300000,22400000,dome new,0.747838
chr12,22400000,22500000,dome new,1.04735
chr12,22500000,22600000,dome new,1.19756
chr12,22600000,22700000,256-cell,0.9191729999999999
chr12,22700000,22800000,dome new,0.159725
chr12,22800000,22900000,non binding,-0.0835385
chr12,22900000,23000000,non binding,0.208227
chr12,23000000,23100000,non binding,0.536709
chr12,23100000,23200000,dome new,0.594128
chr12,23200000,23300000,256-cell,0.22154000000000001
chr12,23300000,23400000,1k-cell new,0.119395
chr12,23400000,23500000,256-cell,0.163578
chr12,23500000,23600000,1k-cell new,-0.128448
chr12,23600000,23700000,non binding,-0.0160748
chr12,23700000,23800000,256-cell,0.553531
chr12,23800000,23900000,non binding,0.9963719999999999
chr12,23900000,24000000,non binding,1.0303
chr12,24000000,24100000,256-cell,0.825923
chr12,24100000,24200000,non binding,0.402419
chr12,24200000,24300000,1k-cell new,-0.00319224
chr12,24300000,24400000,256-cell,-0.208512
chr12,24400000,24500000,non binding,-0.215461
chr12,24500000,24600000,non binding,-0.21383400000000002
chr12,24600000,24700000,non binding,0.0128357
chr12,24700000,24800000,1k-cell new,0.6928479999999999
chr12,24800000,24900000,dome new,1.13331
chr12,24900000,25000000,1k-cell new,1.1405299999999998
chr12,25000000,25100000,256-cell,1.37412
chr12,25100000,25200000,dome new,1.48564
chr12,25200000,25300000,1k-cell new,0.9412520000000001
chr12,25300000,25400000,dome new,0.053759400000000006
chr12,25400000,25500000,256-cell,-0.596659
chr12,25500000,25600000,1k-cell new,-0.601703
chr12,25600000,25700000,1k-cell new,0.0420778
chr12,25700000,25800000,non binding,0.649273
chr12,25800000,25900000,256-cell,0.728128
chr12,25900000,26000000,dome new,0.507089
chr12,26000000,26100000,dome new,0.25584
chr12,26100000,26200000,non binding,-0.14888800000000002
chr12,26200000,26300000,non binding,-0.270903
chr12,26300000,26400000,non binding,0.410711
chr12,26400000,26500000,1k-cell new,1.24927
chr12,26500000,26600000,non binding,1.10785
chr12,26600000,26700000,1k-cell new,0.33829000000000004
chr12,26700000,26800000,non binding,-0.301877
chr12,26800000,26900000,1k-cell new,-0.28015
chr12,26900000,27000000,dome new,0.168965
chr12,27000000,27100000,dome new,0.724526
chr12,27100000,27200000,256-cell,0.931833
chr12,27200000,27300000,256-cell,0.516357
chr12,27300000,27400000,dome new,0.290128
chr12,27400000,27500000,non binding,0.988727
chr12,27500000,27600000,256-cell,1.7102
chr12,27600000,27700000,non binding,1.32764
chr12,27700000,27800000,non binding,0.261723
chr12,27800000,27900000,1k-cell new,-0.608308
chr12,27900000,28000000,256-cell,-0.612498
chr12,28000000,28100000,1k-cell new,-0.12153399999999999
chr12,28100000,28200000,non binding,0.266933
chr12,28200000,28300000,dome new,0.676888
chr12,28300000,28400000,non binding,1.12776
chr12,28400000,28500000,1k-cell new,1.25682
chr12,28500000,28600000,1k-cell new,1.05218
chr12,28600000,28700000,non binding,0.727262
chr12,28700000,28800000,1k-cell new,0.821707
chr12,28800000,28900000,256-cell,1.0790600000000001
chr12,28900000,29000000,1k-cell new,1.0616
chr12,29000000,29100000,256-cell,0.940534
chr12,29100000,29200000,1k-cell new,0.786558
chr12,29200000,29300000,256-cell,0.574166
chr12,29300000,29400000,non binding,0.34730700000000003
chr12,29400000,29500000,non binding,0.291663
chr12,29500000,29600000,256-cell,0.10562
chr12,29600000,29700000,non binding,-0.0382305
chr12,29700000,29800000,dome new,0.114131
chr12,29800000,29900000,dome new,0.0405413
chr12,29900000,30000000,1k-cell new,-0.09417289999999999
chr12,30000000,30100000,256-cell,0.0820806
chr12,30100000,30200000,256-cell,0.152749
chr12,30200000,30300000,non binding,0.426859
chr12,30300000,30400000,non binding,0.9981190000000001
chr12,30400000,30500000,dome new,1.21725
chr12,30500000,30600000,non binding,1.0669
chr12,30600000,30700000,non binding,0.961313
chr12,30700000,30800000,dome new,1.00042
chr12,30800000,30900000,dome new,0.710331
chr12,30900000,31000000,dome new,-0.122046
chr12,31000000,31100000,1k-cell new,-0.865122
chr12,31100000,31200000,dome new,-0.797767
chr12,31200000,31300000,dome new,-0.142741
chr12,31300000,31400000,dome new,0.691036
chr12,31400000,31500000,1k-cell new,1.20537
chr12,31500000,31600000,non binding,1.33839
chr12,31600000,31700000,dome new,1.23816
chr12,31700000,31800000,256-cell,0.718019
chr12,31800000,31900000,dome new,-0.11427000000000001
chr12,31900000,32000000,dome new,-0.269092
chr12,32000000,32100000,1k-cell new,0.326435
chr12,32100000,32200000,1k-cell new,0.9399040000000001
chr12,32200000,32300000,1k-cell new,1.31518
chr12,32300000,32400000,non binding,1.30484
chr12,32400000,32500000,256-cell,0.8448969999999999
chr12,32500000,32600000,dome new,0.261131
chr12,32600000,32700000,non binding,0.11028199999999999
chr12,32700000,32800000,non binding,0.113902
chr12,32800000,32900000,dome new,-0.271702
chr12,32900000,33000000,dome new,-0.8949299999999999
chr12,33000000,33100000,1k-cell new,-1.19024
chr12,33100000,33200000,dome new,-0.839224
chr12,33200000,33300000,1k-cell new,0.28010999999999997
chr12,33300000,33400000,1k-cell new,1.5872700000000002
chr12,33400000,33500000,dome new,1.9878799999999999
chr12,33500000,33600000,1k-cell new,1.6966299999999999
chr12,33600000,33700000,1k-cell new,1.16192
chr12,33700000,33800000,non binding,0.631787
chr12,33800000,33900000,non binding,0.5426449999999999
chr12,33900000,34000000,dome new,0.8163020000000001
chr12,34000000,34100000,non binding,0.9233819999999999
chr12,34100000,34200000,non binding,1.02787
chr12,34200000,34300000,1k-cell new,1.14852
chr12,34300000,34400000,non binding,0.859999
chr12,34400000,34500000,1k-cell new,0.265936
chr12,34500000,34600000,non binding,-0.328517
chr12,34600000,34700000,1k-cell new,-0.105797
chr12,34700000,34800000,256-cell,0.498144
chr12,34800000,34900000,dome new,0.8026939999999999
chr12,34900000,35000000,1k-cell new,0.9290930000000001
chr12,35000000,35100000,1k-cell new,0.49219700000000005
chr12,35100000,35200000,1k-cell new,-0.0880352
chr12,35200000,35300000,1k-cell new,-0.217709
chr12,35300000,35400000,1k-cell new,-0.00734407
chr12,35400000,35500000,non binding,-0.018037599999999997
chr12,35500000,35600000,dome new,-0.246171
chr12,35600000,35700000,non binding,0.61364
chr12,35700000,35800000,dome new,0.284475
chr12,35800000,35900000,256-cell,0.34431999999999996
chr12,35900000,36000000,dome new,0.539144
chr12,36000000,36100000,non binding,0.682067
chr12,36100000,36200000,dome new,0.636782
chr12,36200000,36300000,dome new,0.0
chr12,36300000,36400000,non binding,0.0
chr12,36400000,36500000,non binding,0.0
chr12,36500000,36600000,1k-cell new,0.0
chr12,36600000,36700000,non binding,0.43703100000000006
chr12,36700000,36800000,dome new,0.200851
chr12,36800000,36900000,dome new,-0.017062099999999997
chr12,36900000,37000000,dome new,-0.150008
chr12,37000000,37100000,dome new,-0.168685
chr12,37100000,37200000,dome new,-0.000735089
chr12,37200000,37300000,dome new,0.43407399999999996
chr12,37300000,37400000,non binding,0.8757309999999999
chr12,37400000,37500000,256-cell,0.757584
chr12,37500000,37600000,non binding,-0.117317
chr12,37600000,37700000,256-cell,-0.85169
chr12,37700000,37800000,non binding,-1.30473
chr12,37800000,37900000,non binding,-1.36104
chr12,37900000,38000000,non binding,-1.16316
chr12,38000000,38100000,non binding,-0.633196
chr12,38100000,38200000,non binding,-0.0164495
chr12,38200000,38300000,non binding,-0.039646499999999994
chr12,38300000,38400000,non binding,-0.120957
chr12,38400000,38500000,256-cell,0.276903
chr12,38500000,38600000,256-cell,0.6472899999999999
chr12,38600000,38700000,non binding,0.761946
chr12,38700000,38800000,dome new,0.692171
chr12,38800000,38900000,256-cell,0.273503
chr12,38900000,39000000,dome new,-0.315198
chr12,39000000,39100000,non binding,-0.569891
chr12,39100000,39200000,non binding,-0.47044600000000003
chr12,39200000,39300000,non binding,-0.299054
chr12,39300000,39400000,non binding,-0.283478
chr12,39400000,39500000,non binding,-0.437697
chr12,39500000,39600000,non binding,-0.7957850000000001
chr12,39600000,39700000,1k-cell new,-0.883875
chr12,39700000,39800000,non binding,-0.47671
chr12,39800000,39900000,non binding,-0.0342752
chr12,39900000,40000000,non binding,0.304514
chr12,40000000,40100000,dome new,0.662547
chr12,40100000,40200000,non binding,0.706806
chr12,40200000,40300000,non binding,0.168414
chr12,40300000,40400000,non binding,-0.172076
chr12,40400000,40500000,non binding,-0.329341
chr12,40500000,40600000,non binding,-0.314837
chr12,40600000,40700000,1k-cell new,-0.303779
chr12,40700000,40800000,dome new,-0.741795
chr12,40800000,40900000,1k-cell new,-0.5470689999999999
chr12,40900000,41000000,non binding,-0.137732
chr12,41000000,41100000,dome new,0.27642100000000003
chr12,41100000,41200000,dome new,0.532393
